Tracks	Mother-Daughter Distance	Daughter-Daugther Distance
0	92.6204508734437	
0	118.603118348549	117.566365164532
1	107.347066895188	
1	197.64658346908	265.514011280007
2	146.801763960792	
2	178.333494691827	131.572603580685
3	48.250731289795	
3	152.688335098003	108.643558985335
4	174.409802066856	
4	107.055507121306	137.848171391571
5	174.621621765462	
5	154.749679605484	121.335497765493
6	119.707147911058	
6	98.0662805300578	114.37974568078
7	105.975548755361	
7	147.568619475822	163.518175980531
8	127.817251492121	
8	228.744549078224	215.105720319103
10	47.757310079191	
10	201.722649258828	197.332686866621
11	120.852409574654	
11	81.2856137948162	44.8317268237574
12	79.0458185231833	
12	107.275202223067	182.555036123357
13	164.695397913846	
13	55.4176788579239	119.705418749529
14	71.1299277168198	
14	141.706529344981	113.209161033902
15	38.4096545936044	
15	63.7966888560841	91.2756674968745
17	83.6851789207623	
17	111.921409216468	187.901189325667
18	139.554876442925	
18	161.730341562738	223.251601824041
19	144.476088907473	
19	83.2795882314509	101.622280657344
20	46.1412888528268	
20	140.967660408336	96.3852695488269
21	66.5940146709897	
21	56.5055903163571	112.678435616581
23	83.2848240917876	
23	81.524367811103	153.974726351437
24	92.4393321806255	
24	51.2712394427909	143.369383237845
25	127.250778630231	
25	31.5179188875154	114.390224744075
26	282.545847329243	
26	198.064444785025	256.010226770338
27	98.0079370816465	
27	174.929851051786	270.005073933806
28	215.893161857897	
28	93.2624011378647	294.50968650114
